ID,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g,GroupID,pred_Dry_Green_g,err_Dry_Green_g,abs_err_Dry_Green_g,pred_Dry_Clover_g,err_Dry_Clover_g,abs_err_Dry_Clover_g,pred_Dry_Dead_g,err_Dry_Dead_g,abs_err_Dry_Dead_g,pred_GDM_g,err_GDM_g,abs_err_GDM_g,pred_Dry_Total_g,err_Dry_Total_g,abs_err_Dry_Total_g,weighted_se
ID1357758282,train/ID1357758282.jpg,2015/1/15,NSW,Lucerne,0.77,62.0,0.0,4.8,107.3,112.1,107.3,2,28.9375,78.3625,78.3625,2.8432064,-2.8432064056396484,2.8432064056396484,0.691414,4.108586001396179,4.108586001396179,33.875,73.425,73.425,34.28125,77.81875,77.81875,4722.6895
ID384648061,train/ID384648061.jpg,2015/10/6,NSW,Fescue,0.85,14.6667,0.0,27.7164,157.9836,185.7,157.9836,12,104.1875,53.796099999999996,53.796099999999996,0.012269092,-0.012269091792404652,0.012269091792404652,16.84375,10.87265,10.87265,98.1875,59.796099999999996,59.796099999999996,115.1875,70.51249999999999,70.51249999999999,3502.3442
ID1540480250,train/ID1540480250.jpg,2015/2/24,NSW,Phalaris,0.58,20.0,0.0,3.6485,116.7515,120.4,116.7515,11,52.34375,64.40775,64.40775,0.37131265,-0.3713126480579376,0.3713126480579376,19.46875,-15.82025,15.82025,52.25,64.5015,64.5015,71.5,48.900000000000006,48.900000000000006,2467.5718
ID1139866256,train/ID1139866256.jpg,2015/5/7,NSW,Fescue,0.66,13.0,0.0,83.8407,74.0593,157.9,74.0593,23,51.21875,22.840549999999993,22.840549999999993,2.1286485,-2.128648519515991,2.128648519515991,40.6875,43.1532,43.1532,56.0625,17.996799999999993,17.996799999999993,97.25,60.650000000000006,60.650000000000006,2142.83
ID1121692672,train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,0.52,38.0,0.0,1.3958,109.8042,111.2,109.8042,11,58.59375,51.210449999999994,51.210449999999994,0.14319533,-0.14319533109664917,0.14319533109664917,11.007829,-9.61202871246338,9.61202871246338,57.59375,52.210449999999994,52.210449999999994,68.75,42.45,42.45,1717.6794
ID746335827,train/ID746335827.jpg,2015/10/6,NSW,Fescue,0.75,24.3333,0.0,53.2603,112.8397,166.1,112.8397,12,88.0,24.839699999999993,24.839699999999993,0.0421847,-0.042184699326753616,0.042184699326753616,36.5,16.7603,16.7603,84.625,28.214699999999993,28.214699999999993,120.6875,45.412499999999994,45.412499999999994,1280.1537
ID158170916,train/ID158170916.jpg,2015/11/10,Tas,Ryegrass_Clover,0.91,8.8333,5.3547,33.0205,69.6107,107.9859,74.9654,24,46.53125,23.079449999999994,23.079449999999994,3.657008,1.6976920673370364,1.6976920673370364,9.476639,23.543861206054686,23.543861206054686,51.46875,23.496650000000002,23.496650000000002,63.25,44.7359,44.7359,1220.0546
ID1831254380,train/ID1831254380.jpg,2015/11/9,Tas,Clover,0.84,5.3333,71.7865,15.758,0.8754,88.42,72.662,0,40.8125,-39.9371,39.9371,11.320325,60.46617510223389,60.46617510223389,3.7827878,11.975212200164794,11.975212200164794,54.28125,18.380750000000006,18.380750000000006,58.8125,29.6075,29.6075,1045.326
ID157479394,train/ID157479394.jpg,2015/2/24,NSW,Phalaris,0.69,37.0,0.0,4.8579,129.3421,134.2,129.3421,11,90.5625,38.77959999999999,38.77959999999999,1.7286409,-1.7286409139633179,1.7286409139633179,8.172157,-3.3142572875976564,3.3142572875976564,91.625,37.71709999999999,37.71709999999999,100.5625,33.63749999999999,33.63749999999999,1002.03955
ID1703304524,train/ID1703304524.jpg,2015/11/10,Tas,Ryegrass_Clover,0.86,7.0,2.5821,46.4778,47.7689,96.8288,50.351,24,32.78125,14.987650000000002,14.987650000000002,2.2413125,0.3407874961853028,0.3407874961853028,21.421875,25.055925000000002,25.055925000000002,36.53125,13.819749999999999,13.819749999999999,58.75,38.0788,38.0788,848.449
ID1876271942,train/ID1876271942.jpg,2015/2/24,NSW,Ryegrass,0.68,10.0,0.0,8.3614,47.9386,56.3,47.9386,11,62.0625,-14.123899999999999,14.123899999999999,9.140732,-9.140731811523438,9.140731811523438,25.15625,-16.79485,16.79485,68.875,-20.9364,20.9364,93.5625,-37.2625,37.2625,838.4241
ID48303557,train/ID48303557.jpg,2015/6/26,Tas,Ryegrass_Clover,0.8,4.0,0.0,13.2399,60.0887,73.3286,60.0887,16,28.515625,31.573075000000003,31.573075000000003,1.5724516,-1.5724515914916992,1.5724515914916992,12.20313,1.0367702316284184,1.0367702316284184,29.40625,30.682450000000003,30.682450000000003,41.75,31.578599999999994,31.578599999999994,786.9271
ID668475812,train/ID668475812.jpg,2015/5/7,NSW,Lucerne,0.78,42.0,0.0,52.9301,34.0699,87.0,34.0699,23,64.4375,-30.367600000000003,30.367600000000003,8.945443,-8.945443153381348,8.945443153381348,21.25,31.680100000000003,31.680100000000003,75.625,-41.5551,41.5551,98.375,-11.375,11.375,610.64465
ID1789265307,train/ID1789265307.jpg,2015/11/9,Tas,Clover,0.87,7.1667,69.8783,19.3509,1.0751,90.3042,70.9533,0,30.5625,-29.4874,29.4874,24.875,45.003299999999996,45.003299999999996,10.859394,8.491505926513671,8.491505926513671,56.125,14.828299999999999,14.828299999999999,68.4375,21.866699999999994,21.866699999999994,579.7429
ID1103883611,train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,0.48,26.0,0.0,12.9166,82.7834,95.7,82.7834,11,56.125,26.6584,26.6584,0.07612245,-0.07612244784832001,0.07612244784832001,15.5625,-2.6458999999999993,2.6458999999999993,54.15625,28.62715,28.62715,69.75,25.950000000000003,25.950000000000003,572.37164
ID1211362607,train/ID1211362607.jpg,2015/2/24,NSW,Ryegrass,0.58,7.0,0.0,1.3446,66.5554,67.9,66.5554,11,33.0625,33.492900000000006,33.492900000000006,0.11450101,-0.11450100690126419,0.11450100690126419,18.40625,-17.06165,17.06165,31.203125,35.352275000000006,35.352275000000006,49.40625,18.493750000000006,18.493750000000006,562.25476
ID1062837331,train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,0.82,9.0,19.98,3.9623,35.4077,59.35,55.3877,15,52.40625,-16.99855,16.99855,29.484375,-9.504375,9.504375,6.5483084,-2.5860083724975587,2.5860083724975587,81.25,-25.862299999999998,25.862299999999998,87.25,-27.9,27.9,561.57385
ID1357768767,train/ID1357768767.jpg,2015/2/25,NSW,Fescue,0.68,15.0,0.0,5.4497,104.1503,109.6,104.1503,10,73.1875,30.9628,30.9628,0.016159004,-0.016159003600478172,0.016159003600478172,13.585938,-8.136238453674316,8.136238453674316,70.9375,33.2128,33.2128,88.0,21.599999999999994,21.599999999999994,556.3873
ID2131261930,train/ID2131261930.jpg,2015/11/9,Tas,Ryegrass_Clover,0.73,4.5,6.744,42.7122,31.4721,80.9283,38.2161,0,15.90625,15.565850000000001,15.565850000000001,9.187602,-2.4436020431518557,2.4436020431518557,25.578125,17.134075000000003,17.134075000000003,25.46875,12.747349999999997,12.747349999999997,51.78125,29.147049999999993,29.147049999999993,511.45856
ID853954911,train/ID853954911.jpg,2015/6/26,Vic,Ryegrass,0.85,6.0,0.0,26.0,23.0,49.0,23.0,16,57.8125,-34.8125,34.8125,0.117929414,-0.11792941391468048,0.11792941391468048,12.757815,13.24218463897705,13.24218463897705,54.78125,-31.78125,31.78125,67.25,-18.25,18.25,507.26877
ID230058600,train/ID230058600.jpg,2015/8/21,WA,Clover,0.67,3.0,46.83,0.0,0.0,46.83,46.83,6,20.609375,-20.609375,20.609375,3.7637053,43.066294746398924,43.066294746398924,5.3679557,-5.367955684661865,5.367955684661865,24.21875,22.61125,22.61125,29.765625,17.064375,17.064375,478.67694
