weighted_se,Dry_Green_g,pred_Dry_Green_g,abs_err_Dry_Green_g,Dry_Clover_g,pred_Dry_Clover_g,abs_err_Dry_Clover_g,Dry_Dead_g,pred_Dry_Dead_g,abs_err_Dry_Dead_g,GDM_g,pred_GDM_g,abs_err_GDM_g,Dry_Total_g,pred_Dry_Total_g,abs_err_Dry_Total_g,ID,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,GroupID,err_Dry_Green_g,err_Dry_Clover_g,err_Dry_Dead_g,err_GDM_g,err_Dry_Total_g
4722.6895,107.3,28.9375,78.3625,0.0,2.8432064,2.8432064056396484,4.8,0.691414,4.108586001396179,107.3,33.875,73.425,112.1,34.28125,77.81875,ID1357758282,train/ID1357758282.jpg,2015/1/15,NSW,Lucerne,0.77,62.0,2,78.3625,-2.8432064056396484,4.108586001396179,73.425,77.81875
3502.3442,157.9836,104.1875,53.7961,0.0,0.012269092,0.0122690917924046,27.7164,16.84375,10.87265,157.9836,98.1875,59.7961,185.7,115.1875,70.51249999999999,ID384648061,train/ID384648061.jpg,2015/10/6,NSW,Fescue,0.85,14.6667,12,53.7961,-0.0122690917924046,10.87265,59.7961,70.51249999999999
2467.5718,116.7515,52.34375,64.40775,0.0,0.37131265,0.3713126480579376,3.6485,19.46875,15.82025,116.7515,52.25,64.5015,120.4,71.5,48.900000000000006,ID1540480250,train/ID1540480250.jpg,2015/2/24,NSW,Phalaris,0.58,20.0,11,64.40775,-0.3713126480579376,-15.82025,64.5015,48.900000000000006
2142.83,74.0593,51.21875,22.840549999999997,0.0,2.1286485,2.128648519515991,83.8407,40.6875,43.1532,74.0593,56.0625,17.996799999999993,157.9,97.25,60.650000000000006,ID1139866256,train/ID1139866256.jpg,2015/5/7,NSW,Fescue,0.66,13.0,23,22.840549999999997,-2.128648519515991,43.1532,17.996799999999993,60.650000000000006
1717.6794,109.8042,58.59375,51.21045,0.0,0.14319533,0.1431953310966491,1.3958,11.007829,9.61202871246338,109.8042,57.59375,52.21045,111.2,68.75,42.45,ID1121692672,train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,0.52,38.0,11,51.21045,-0.1431953310966491,-9.61202871246338,52.21045,42.45
1280.1537,112.8397,88.0,24.839699999999997,0.0,0.0421847,0.0421846993267536,53.2603,36.5,16.7603,112.8397,84.625,28.214699999999997,166.1,120.6875,45.4125,ID746335827,train/ID746335827.jpg,2015/10/6,NSW,Fescue,0.75,24.3333,12,24.839699999999997,-0.0421846993267536,16.7603,28.214699999999997,45.4125
1220.0546,69.6107,46.53125,23.079449999999994,5.3547,3.657008,1.6976920673370364,33.0205,9.476639,23.54386120605469,74.9654,51.46875,23.49665,107.9859,63.25,44.7359,ID158170916,train/ID158170916.jpg,2015/11/10,Tas,Ryegrass_Clover,0.91,8.8333,24,23.079449999999994,1.6976920673370364,23.54386120605469,23.49665,44.7359
1045.326,0.8754,40.8125,39.9371,71.7865,11.320325,60.46617510223389,15.758,3.7827878,11.975212200164794,72.662,54.28125,18.38075000000001,88.42,58.8125,29.6075,ID1831254380,train/ID1831254380.jpg,2015/11/9,Tas,Clover,0.84,5.3333,0,-39.9371,60.46617510223389,11.975212200164794,18.38075000000001,29.6075
1002.03955,129.3421,90.5625,38.77959999999999,0.0,1.7286409,1.728640913963318,4.8579,8.172157,3.3142572875976564,129.3421,91.625,37.71709999999999,134.2,100.5625,33.63749999999999,ID157479394,train/ID157479394.jpg,2015/2/24,NSW,Phalaris,0.69,37.0,11,38.77959999999999,-1.728640913963318,-3.3142572875976564,37.71709999999999,33.63749999999999
848.449,47.7689,32.78125,14.987650000000002,2.5821,2.2413125,0.3407874961853028,46.4778,21.421875,25.055925,50.351,36.53125,13.81975,96.8288,58.75,38.0788,ID1703304524,train/ID1703304524.jpg,2015/11/10,Tas,Ryegrass_Clover,0.86,7.0,24,14.987650000000002,0.3407874961853028,25.055925,13.81975,38.0788
